x,y,z
30,22,-3
-3,17,47
-48,-39,47
47,-55,35
30,55,22
-36,-51,37
2,-70,40
38,23,34
-26.08,-29.74,60.59
44.8,-8.01,-13.39
-16.5,-56.17,-3.18
53.31,-25.23,21.3
35.22,-28.18,53.82
-2.3,-54.6,-15.47
-61.38,5.16,3.48
36.67,-7.84,-9.28
-34.72,53.87,5.71
35.15,-6.12,45.08
-40.96,-69.94,7.58
14.93,0.77,67.26
22.55,-65.86,16.84
-30.16,25,56.92
52.99,36.53,-16.87
-2.04,-59.79,12.9
-11.96,18.13,34.78
12.68,-12.04,47.53
3.82,54.7,-26.96
-42.84,-67.4,23.64
0.12,-81.73,25.63
-8.19,-59.82,10.94
-2.16,51.18,-10.68
12.47,-49.13,30.54
36,30,26
4,36,-8
38.97,31.47,13.67
-1.8,40.15,25.93
2.14,-63.61,21.02
53.39,-24.97,29.35
42,28,14
46,-78,34
52,-2,52
-18,-56,28
15,54,-15
51,15,45
36,60,3
51,0,24
-51,-18,-21
42,-42,15
18,-60,63
54,-54,36
24,-48,3
-15,30,-6
33,-12,-18
30,-27,3
-45,-60,-12
18,-60,-18
3,-72,-15
3,-60,-27
-21,-66,-33
-45,-48,51
-33,-69,51
0,-66,45
39,-69,-27
-36,-81,-30
12,-84,-27
0,-78,-42
-30,-63,-39
36,-81,39
-45,-57,-3
57,-45,-3
-39,-36,-9
-42,15,18
-9,-9,-12
-6,-12,6
18,-18,9
6,-54,57
-33,18,0
16,-12,-26
-8,-6,-4
-10,50,-14
38,4,44
-64,-46,-4
34,-48,38
-44,-72,-4
-18,-88,-12
69,-27,15
36,27,51
-30,51,3
60,3,9
-9,-6,45
18,-69,15
4.36,24.02,30.39
43,-22,50
2,-14,-16
-20,-32,-22
-12,-34,0
10.46,-11.3,53.5
58.44,-4.95,3.87
0.35,-77.51,26.72
-36.64,3.43,6.9
-22.72,-31.36,-10.06
-20.67,-13.59,-15.22
-2.76,23.99,41.27
29.12,50.77,4.46
22.49,35.36,-10.71
15.14,-1.37,-1.35
21.4,4.64,-17.74
25.13,39,28.11
22.75,44.99,11.87
24.65,49.61,-7.67
37.03,7.37,22.07
32.92,0.2,37.42
34.5,25.39,-3.2
34.61,21.86,4.99
42.26,29.1,13.11
25.36,-49.04,27.85
27.5,-60.08,24.42
32.93,-65.38,24.85
38,-87.52,-5.54
38,-57.97,0.5
49.6,-62.24,-22.8
-35.41,-91.72,-0.51
-39.96,-80.32,-16.13
-32.25,-96.69,-7.92
25.13,41.13,27.9
30.47,25.43,20.39
47.74,16.57,16.49
45.55,11.99,13.62
42.22,24.43,9.09
40.04,13.37,5.73
36.72,23.69,1.41
-2.13,-86.68,-17.26
-4.79,-98.64,15.18
-1.88,-86.93,2.93
48.49,-64.68,-25.91
28.94,-54.53,-31.06
22.54,-45.21,-22.91
53.09,11.81,11.27
29.56,22.31,33.04
53.27,24.11,27.98
31.63,45.72,30.69
40,56.85,11.52
1.6,-49.02,29.37
