x,y,z
12,60,6
18,23,59
51,-69,32
48,-57,34
-48,5,1
-44,-73,23
27,-42,-12
39,-48,45
51,12,42
0,12,66
-36,-63,-42
-27,-42,39
-30,-9,42
-36,6,24
9,9,54
30,-48,-24
-39,-54,6
-45,3,3
-9,-18,-18
-3,-72,-24
9,-57,-33
30,-81,18
-36,-87,0
-36,54,-6
18,3,-9
-58,-18,-12
-64,-42,0
-48,-34,-4
-46,-26,-24
12,-16,-20
24,-58,60
-48,-34,36
-12,-100,12
-20,26,40
-68,-38,4
34,-48,38
34,2,-24
-20,-106,-2
-8,-104,10
-42,-58,-24
48,-54,39
49.31,25.71,25.82
-10.19,-0.97,9.15
8.48,20.06,34.5
24.86,-56.93,42.73
-44.72,8.08,33.43
-34.82,19.12,-1.27
-8.2,-15.31,5.54
8.26,47.71,9.47
-1.76,28.17,32.35
2.08,45.58,5.57
-1.98,43.63,7.69
27.11,16.63,56.56
-22.1,34.67,42.44
29.13,16.56,54.53
-26.2,34.68,42.48
24.73,62.15,18.92
-2,61.83,5.12
41.41,-30.05,59.86
18.54,-18.98,21.48
10.56,-18.3,41.7
24.9,18.16,40.41
24.81,30.01,29.99
8.28,47.77,11.48
2.31,28.09,30.29
-24.15,34.68,42.46
45.12,53.75,12.91
45.38,22.19,42.09
-7.95,66.49,23.17
-6.17,53.48,-2.65
28.19,-67.45,-8.48
-31.2,-66.28,-4.22
11.34,-78.43,24.27
45.87,-5.28,35.5
-38.77,11.28,10.65
22,-75.07,13.67
-24.11,-83.59,39.95
-36.48,-68.66,5.07
-7.26,-70.38,8.1
8.1,0.32,40.07
7,5.63,39.56
56.7,8.04,39.6
62.26,-40.01,42.01
-55.49,-42.55,44.27
-53.58,9.26,35.75
8.12,5.95,42.87
56.7,8.04,39.6
-53.55,7.23,37.07
62.26,-40.01,42.01
-55.49,-42.55,44.27
51.42,5.66,48.89
-45.58,-48.72,58.16
42.75,19.44,32.54
-32.39,-43.89,42.44
-24.2,-73.47,-8
44.88,30.26,32.22
37.18,-1.29,66.06
35.36,-50.22,49.09
-29.48,-54.91,48.41
-11.66,-16.28,12.91
-0.55,-42.44,31
6.65,-16.63,8.15
-13.83,-1.08,14.81
12.09,-0.99,14.36
-41.97,-66.11,-1.81
46.58,-60.59,-4.99
-24.77,-81.98,-11.74
20.6,-84.05,-13.43
-29.17,-55.2,-12.07
30.21,-58.6,-17.23
-33.07,-73.99,16.75
29.6,-75.9,15.87
-28.54,-59.24,36.5
31.96,-57.97,35.34
-52.56,12.04,30.98
4.47,-55.11,-1.45
53.68,-9.36,-31.47
-29.43,-16.68,-24.85
18.82,22.52,-4.33
-7.19,8.73,-12.61
-39.66,24.57,-13.63
5.76,25.04,-11.08
41.62,3.77,0.5
-3.63,37.38,18.11
1.64,23.46,46.85
-46.23,29.52,22.42
46.67,38.56,22.18
2.12,46.31,4.24
4.16,54.21,-3.3
-0.18,45.27,-6.82
17.44,-74.73,-5.33
-14.99,-70.59,-5.19
