x,y,z
-6.62,26.96,-7.14
0.62,58.5,-26.07
16.42,-38.18,6.76
-2.28,-28.28,67.73
-5.91,-16.96,39.77
-5.93,-1.76,41.63
-5.97,-54.57,27.81
-58.47,34.53,-3.65
-21.35,63.82,32.04
-51.05,-0.49,-22.72
-61.72,-25.74,-16.68
-39.78,29.33,20.08
-32.62,56.96,-6.3
50.02,-29.58,16.54
52.94,-8.99,-4.6
41.77,-19.39,-34.76
37.98,10.8,12.75
52.51,-1.27,-36.73
-16.92,-26.21,21.83
23.85,-20.49,0.4
0.9,-52.09,-26.34
-9.64,-5.3,3.95
-17.18,-46.78,-3.03
-9.85,-2.5,-12.02
11.97,5.73,5.85
63.59,-59.31,-26.69
-24.94,-62.5,-21.51
26.9,-6.62,-12.23
21,-3,-9
-25,-3,-9
28,6,-15
-21,0,-9
25,3,-28
12,-6,-15
-25,-3,-15
18,-12,-21
-21,-15,-15
25,18,9
-31,15,0
34,0,6
-37,0,12
9,-18,12
-6,-18,15
28,33,-9
9,0,18
-12,0,15
6,-3,18
-12,-3,15
21,6,9
-21,6,9
43,12,3
-50,9,9
50,-27,0
9,9,43
1,-9,34
-4.33,2.65,-12.05
19.13,-13.04,-24.38
2.18,25.72,10.48
32.34,-80.41,-2.16
34.25,-48.64,-18.22
30.27,-80.79,6.82
-4.33,2.65,-12.05
29.69,44.98,-18.22
-29.08,44.63,-17.51
23.27,52.52,-16.55
-21.64,54.19,-18.4
10.37,51.67,-26.36
-9.93,51.55,-26.12
26.51,32.02,-20.44
-24.79,31.71,-19.82
4.17,46.11,-1.29
-3.3,46.15,-0.09
10.63,2.74,-12.23
-10.74,2.61,-11.97
26.66,3.98,-11.4
-25.7,3.67,-10.77
54.46,7.58,-8.67
-52.4,6.94,-7.39
30.97,10.95,-4.23
-31.01,10.58,-3.48
38.57,25.4,16.78
-37.32,24.77,15.47
43.89,35.03,17.02
-42.69,34.34,15.85
5.55,49.37,40.8
-1.92,51.62,42.92
2.13,1,-6.41
-0.01,0.99,-6.38
23.43,-7.3,-19.34
-22.54,-7.75,-21
30.96,-21,-18.28
-29.96,-21.45,-18.65
8.63,8.59,8.5
-5.25,8.59,9.77
47.14,-73.15,-19.66
-44.7,-76.44,-12.76
43.81,-41.53,-23.39
-33.14,-34.42,-20.87
33.99,-7.46,-36.17
21.23,-1.4,-25.38
-23.61,-1.24,-19.31
43.56,22.89,-29.91
-46.16,22.78,-23.29
56.49,-0.13,-25.89
-57.77,0.05,-13.44
11.72,0.8,-9.85
11.64,35.07,-7.14
7.3,49.76,-9.44
-5.41,68.49,13.67
4.36,58.03,28.93
-0.72,-53.52,18.27
26.82,-86.64,-27.22
-14.94,-85.55,-36.87
-17,-39.72,-8.35
-24.68,-4.59,-21.24
-23.59,4.48,-14.21
-40.87,26.7,-28.14
8.53,0.87,-8.7
11.63,39.38,-6.39
13.91,45.25,14.28
-5.24,25.13,17.3
24,-4,-8
-22,-4,-16
2.09,-44.41,-29.36
18.21,-26.91,-10.94
-3.07,-39.3,-4.08
1.16,-21.04,-2.32
45.88,23.64,-6.58
39.66,2.51,9.76
38.56,13.25,11.11
-36.44,12.86,-14.76
-37.28,0.99,10.77
9.5,28.46,-9.91
-4.36,39.72,-0.66
8.98,-55.95,27.29
-6.57,18.07,-18.89
-0.28,43.14,-25.53
14.95,0.99,-7.67
-20.35,0.44,-11.68
11.81,54.39,22.46
-9.59,60.6,22.19
-7.28,-21.12,11.17
54.76,-46.47,8.12
-52.06,-57.68,10.29
39.37,1.8,-26.97
-35.44,3.47,-26.26
5.31,-5.84,-12.56
31.01,-55.69,-26.52
-35.15,-72.67,-19.87
1.02,-30.15,-23.85
11.78,-11.8,-7.67
-11.72,-14.05,-7.22
22.37,4.84,-13.65
-13.96,2.51,-13.04
1.06,5.4,-4.53
46.92,0.33,-19.13
50.21,4.46,-7.25
53.5,-4.52,0.16
38.6,-9.47,6.32
-39.44,-1.48,6.55
-39.52,7.61,0.21
-41.71,7.09,-6.41
-36.33,-2.4,-5.68
