Achei_only_incZ,Achei_only_decZ,Nic_only_incZ,Nic_only_decZ,ALE_inc3,ALE_dec3
0.39492562,0.27392536,0.2947021,0.42838773,0.0,0.0
0.568581,,0.47581232,0.99999994,0.0,0.0
0.17559305,,,0.29612997,0.0,0.0
0.28658572,0.25378978,0.5394197,0.5723297,0.0,0.0
0.51492393,0.28688067,0.34101343,0.59565115,0.0,0.0
0.6111028,0.27793324,0.51792246,0.36588016,0.0,0.0
0.4508703,0.20580837,0.558347,0.08656575,0.0,0.0
,,0.23732348,0.5081571,0.0,0.0
,,0.026185647,0.63639575,0.0,0.0
,,0.4163354,,0.0,0.0
,,0.48296112,,0.0,0.0
,,0.18109648,,0.0,0.0
0.15385482,0.14802945,0.26967657,0.17398243,0.0,0.0
,0.16816422,0.3302433,0.22233222,0.0,0.0
0.08140099,0.28217533,,0.39799717,0.0,0.0
0.32225487,,,,0.0,0.0
0.3066868,,,0.17224053,0.0,0.0
0.16706839,0.3149484,0.36973846,0.5362161,0.0,0.0
0.31628427,,,,0.0,0.0
0.6821327,0.28472278,,0.1929952,0.0,0.0
0.45957276,0.22955176,0.23905037,0.4986609,0.0,0.0
0.21506903,0.43495676,0.16634932,0.5184772,0.0,0.0
0.4449332,,0.25614387,0.96251184,0.0,0.0
,,,,0.0,0.0
,,0.08868611,,0.0,0.0
,0.13034177,0.46271634,,0.0,0.0
,0.12944323,0.025536604,0.19365184,0.0,0.0
,,0.20354898,,0.0,0.0
,0.17560366,,0.58286846,0.0,0.0
,0.25336096,,0.5359645,0.0,0.0
0.15258276,,0.12713234,0.8611151,0.0,0.0
,,0.1156065,0.13883558,0.0,0.0
0.12925556,,0.0,0.75329274,0.0,0.0
,,0.58463615,0.62779385,0.0,0.0
,,0.3781783,0.4773525,0.0,0.0
,,,,0.0,0.0
,,0.13988557,,0.0,0.0
,,0.106856525,0.5002806,0.0,0.0
,,,,0.0,0.0
,,,0.43618283,0.0,0.0
,,0.0010289215,0.9504203,0.0,0.0
,,,,0.0,0.0
,0.4018586,0.16584547,0.32580605,0.0,0.0
,,0.1873369,,0.0,0.0
,0.11597049,,0.20017764,0.0,0.0
0.008076638,,,0.15626322,0.0,0.0
,,0.3206705,0.27609348,0.0,0.0
0.11848751,0.05877644,0.6637124,0.16770731,0.0,0.0
,,0.14882821,0.14762066,0.0,0.0
0.3567787,,0.29677135,0.21224622,0.0,0.0
,0.057456076,0.1056802,0.32621187,0.0,0.0
,0.16339776,0.23506965,0.27085188,0.0,0.0
,,0.19934267,0.42259327,0.0,0.0
,,,0.13770616,0.0,0.0
,,,0.111523464,0.0,0.0
,,0.56794256,,0.0,0.0
